produit,quantite,prix_unitaire,prix_total,categorie,date,enseigne,fichier,nom_simplifié
LINDT EXCELLENCE NOI,1.0,2.45,2.45,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Chocolat Lindt
PAT FROM FRAIS 3.6%M,1.0,1.86,1.86,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Fromage frais
PAT FROM FRAIS 3.6%M,1.0,1.86,1.86,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Fromage frais
AVOCAT AFFINE GROS C,1.0,1.19,1.19,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,1.19,1.19,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,1.19,1.19,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Avocat
OEUF NICEUF PAIR,1.0,2.98,2.98,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Œufs
OEUF NICEUF PAIR,1.0,2.98,2.98,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Œufs
FLORETTE HOUMOUS 175,1.0,3.42,3.42,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Houmous
OEUF NICEUF PAIR,1.0,2.98,2.98,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Œufs
APTA ET COMPACT ECOL,1.0,3.16,3.16,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,APTA ET COMPACT ECOL
PAT FROMAGE BLANC 3.,1.0,2.22,2.22,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Fromage blanc
PAT FROM FRAIS 3.6%M,1.0,1.84,1.84,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Fromage frais
ST ELOI PETITPOIS EF,1.0,1.48,1.48,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Petits pois
PAT FROM FRAIS 3.6%M,1.0,1.84,1.84,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Fromage frais
PAT FROM FRAIS 3.6%M,1.0,1.84,1.84,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Fromage frais
SUZI WAN VERMICELLES,1.0,2.37,2.37,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Nouilles de riz
F.MICHON 4T POIS CHI,1.0,2.5,2.5,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Charcuterie Michon
F.MICHON 4T HARICOTS,1.0,2.5,2.5,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Haricots
AVOCAT AFFINE GROS C,1.0,1.39,1.39,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,1.39,1.39,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,1.39,1.39,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,1.39,1.39,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Avocat
TIPIAK COUSCOUS EP.M,1.0,2.22,2.22,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Couscous
BANANES 4 FRUITS,1.0,2.4,2.4,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Banane
*NOUILLE RIZ 3MM WEI,1.0,2.39,2.39,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Nouilles de riz
"0,500 kg X 2,19EURO/kg",1.0,1.1,1.1,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Vrac (vente au poids)
PAQUI GOURD MULT VAR,1.0,7.06,7.06,,2026-03-05,Intermarché,cec7abd7-b6d6-407e-9495-a15861da02ea.pdf,Gourde de fruits
PAT FROM FRAIS 3.6%M,1.0,1.62,1.62,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Fromage frais
PATURAGES MOZZARELLA,1.0,0.93,0.93,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Mozzarella
PATURAGES MOZZARELLA,1.0,0.93,0.93,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Mozzarella
PAT FROMAGE BLANC 3.,1.0,1.92,1.92,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Fromage blanc
PAT FROMAGE BLANC 3.,1.0,1.92,1.92,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Fromage blanc
TIPIAK COUSCOUS EP.M,1.0,2.25,2.25,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Couscous
TIPIAK COUSCOUS EP.D,1.0,2.35,2.35,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Couscous
BJORG BOIS.AMANDE 1L,1.0,2.62,2.62,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Lait d'amande
BJORG BOIS.AMANDE 1L,1.0,2.62,2.62,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Lait d'amande
DOMEDIA 2 CARRES INV,1.0,5.49,5.49,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,DOMEDIA 2 CARRES INV
SUZI WAN LAIT DE COC,1.0,1.38,1.38,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Lait de coco
SUZI WAN LAIT DE COC,1.0,1.38,1.38,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Lait de coco
APTA EPONGE GRATTANT,1.0,0.62,0.62,,2025-09-22,Intermarché,f136b5b2-764a-45f3-996b-550e8617db7c.pdf,Éponges
COCA COLA B.GAZ 1.25,1.0,1.94,1.94,,2025-10-26,Intermarché,f46bec2c-b32f-444b-bb24-e057090a3b40.pdf,Coca-Cola
"0,960 kg X 1,99EURO/kg",1.0,1.91,1.91,,2025-10-26,Intermarché,f46bec2c-b32f-444b-bb24-e057090a3b40.pdf,Vrac (vente au poids)
ORANGE DESSERT FILET,1.0,3.99,3.99,,2026-03-19,Intermarché,fd6fb45e-bb6a-4f9c-a288-23e53918d356.pdf,ORANGE DESSERT FILET
DUCROS MOULIN POIVR.,1.0,3.42,3.42,,2026-03-19,Intermarché,fd6fb45e-bb6a-4f9c-a288-23e53918d356.pdf,DUCROS MOULIN POIVR.
AFFLIGEM BIERE PACK,1.0,5.91,5.91,,2025-09-17,Intermarché,fe78b8af-f566-4a69-91f2-f7b6cfb42b25.pdf,Bière Affligem
BRETS CHIPS SCE POM,1.0,1.8,1.8,,2025-09-17,Intermarché,fe78b8af-f566-4a69-91f2-f7b6cfb42b25.pdf,Chips / snacks
CHIPS BRETS CRAQUANT,1.0,1.98,1.98,,2025-09-17,Intermarché,fe78b8af-f566-4a69-91f2-f7b6cfb42b25.pdf,Chips / snacks
Tablettes Lave-vaisselle Certifiées Ecocert x 70,1.0,15.6,15.6,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Liquide vaisselle
Déboucheur pour Canalisations Action Rapide,1.0,6.79,6.79,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Déboucheur pour Canalisations Action Rapide
Dentifrice Fraicheur au Menthol - Sans Fluor,2.0,2.49,4.98,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Dentifrice Fraicheur au Menthol - Sans Fluor
Adoucissant à la Lavande Certifié Ecodétergent - 1.5L,1.0,4.3,4.3,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Adoucissant à la Lavande Certifié Ecodétergent - 1.5L
Liquide de Rinçage pour Lave-Vaisselle Certifié Ecodétergent - 1L,1.0,3.99,3.99,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Liquide vaisselle
Spray Nettoyant Anticalcaire Certifié Ecodétergent,1.0,1.99,1.99,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Spray Nettoyant Anticalcaire Certifié Ecodétergent
Spray Nettoyant Vitres et Surfaces Vitrées Certifié Ecodétergent,1.0,1.99,1.99,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Spray Nettoyant Vitres et Surfaces Vitrées Certifié Ecodétergent
Nettoyant Sols et Surfaces Certifié Ecodétergent,1.0,2.66,2.66,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Nettoyant Sols et Surfaces Certifié Ecodétergent
Gel WC Certifié Ecodétergent,1.0,2.46,2.46,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Gel WC Certifié Ecodétergent
Lessive Liquide Blanc et Couleurs Certifiée Ecodétergent,2.0,3.99,7.98,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Lessive
Gel Douche Lavant Neutre Certifié Cosmos Organic - 1L,2.0,7.98,15.96,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Gel Douche Lavant Neutre Certifié Cosmos Organic - 1L
Lessive en Poudre Blanc & Couleurs Certifiée Ecodétergent - 3kg,1.0,18.98,18.98,Bio/Éco,2025-09-25,La Fourche,2025_09_001957148_0c381622-03ea-4211-b62e-e6c8238548c4.pdf,Lessive
